name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
Harvest Financial Services,Privately Held,51-200,1993,Financial Services,more than 1000,"Retirement Planning,Self Administered Pensions,Approved Retirement Funds,Fee Based Financial Planning",https://media.licdn.com/dms/image/C4D0BAQHVOQvNl0WoZw/company-logo_200_200/0?e=2132524800&v=beta&t=7zNa26VgftlBNUcGMR7jAWflXRh8VF_Ptfz0S6uwX-Q,HarvestFinancial.ie,Financial
Premier Tax Free (Fintrax Group Holdings),Privately Held,501-1000,1985,Financial Services,more than 1000,"Tax Free Shopping,Dynamic Currency Conversion,Card Payments,Terminal Management",https://media.licdn.com/dms/image/C560BAQH619nd-cgkKA/company-logo_200_200/0?e=2132524800&v=beta&t=4CRSDcgP9LGUiw3Ju1LndJq5jU35JO2iFwlHCeuI5Kk,http://www.premiertaxfree.com/,Financial
Accounting Technicians Ireland,Non Profit,11-50,1983,Accounting,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQFifcTI0MKN6A/company-logo_200_200/0?e=2132524800&v=beta&t=sffnKjBXGtuJAZUTukxDOaqYcOnZO7jrc_efSsZqsyU,www.AccountingTechniciansIreland.ie,Financial
NDRC,Privately Held,11-50,2006,Investment Management,more than 1000,"Collaborative Innovation,Early stage investment,Digital ventures,Startup,Technology accelerator,Venture investment,Innovation",https://media.licdn.com/dms/image/C4D0BAQEOdXsh0RCMig/company-logo_200_200/0?e=2132524800&v=beta&t=YRFcBHn1S5TUb9rahrxwUE9DVqrIl8CxG61SDkAevSE,http://www.ndrc.ie/,Financial
Crowe Ireland,Partnership,51-200,1941,Accounting,more than 1000,"Audit,Tax,Company Secretarial,Advisory,Consulting,Corporate Finance,Payroll,Outsourcing,Private Clients",https://media.licdn.com/dms/image/C4E0BAQGM30N2RWoBKw/company-logo_200_200/0?e=2132524800&v=beta&t=nvq1yJJ6k-NL06iLYfJA6NEXSDur_MJ4vb9JrTTPCdc,http://www.crowe.ie,Financial
Positive Equity,Partnership,51-200,2008,Capital Markets,more than 1000,"Futures,Changing each other's lives,Trading",https://media.licdn.com/dms/image/C4D0BAQFnDVAFtxa1aw/company-logo_200_200/0?e=2132524800&v=beta&t=VyE8QGIhP0wEeC2TS1plEaqVKAkuxNKnQkSL9mhW5M8,www.positive.ie,Financial
AXA Life Europe,Public Company,51-200,2005,Financial Services,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQHyOjRzeRwD4w/company-logo_200_200/0?e=2132524800&v=beta&t=HaTfbDWWTmTm3a06eoC2YgTdyFxXNqvd7giIIPEAKJk,https://www.axa-lifeeurope.com,Financial
RSM Ireland,Partnership,51-200,Undisclosed,Accounting,more than 1000,"Audit & Assurance,Tax,Corporate Recovery,Personal Recovery,HR Consultancy",https://media.licdn.com/dms/image/C4D0BAQHb-RQ-r1q_DA/company-logo_200_200/0?e=2132524800&v=beta&t=VQ68NgVfIO6ToaISxt7XF9kM9kBSKxioiaRXFnw9eFQ,http://www.rsmireland.ie,Financial
Trade The News,Privately Held,51-200,1997,Financial Services,more than 1000,"breaking news analysis,FOREX Analysis,International Equities,fixed income,Futures,Economic and Financial Event calendars,Market Summaries,Asian Markets,European Markets,American Markets,geopolitical analysis",https://media.licdn.com/dms/image/C4E0BAQGUEy_6I-hSkQ/company-logo_200_200/0?e=2132524800&v=beta&t=bDGA03oJaJ1P90-SPsfp-Sm6JmsYxCLiPO9SnUIBE4I,www.tradethenews.com,Financial
IFAC Ireland,Public Company,201-500,1975,Accounting,more than 1000,"Taxation,Accounting,Financial Advice,Book-keeping",https://media.licdn.com/dms/image/C510BAQEqfXyXj-9LhQ/company-logo_200_200/0?e=2132524800&v=beta&t=X6obz9eyU5eJiF3kNXCT8Mw-T22v4nD5s_cAjeKIcjI,www.ifac.ie,Financial
RBK Chartered Accountants,Privately Held,51-200,1958,Accounting,more than 1000,"Chartered Accountancy,Taxation,Business Advisory,International Taxation,Corporate Recovery & Insolvency,Corporate Finance,Audit & Assurance,Accounting Solutions,Corporate Compliance,Protection & Planning,Technology,HR / Payroll / Recruitment Solutions",https://media.licdn.com/dms/image/C4E0BAQGSImg2VDkavA/company-logo_200_200/0?e=2132524800&v=beta&t=DLpNPIwpjLV1TAYJPvZZd0ppUnuSTNMjLzI_nFZWdrM,www.rbk.ie,Financial
123.ie,Privately Held,201-500,2002,Insurance,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQE0TbRCFIFQbw/company-logo_200_200/0?e=2132524800&v=beta&t=0ry7PEttBxSu7IOgU9vIT87xU3nTHlPmlm1e5kMpiHw,www.123.ie,Financial
EisnerAmper Ireland,Partnership,51-200,Undisclosed,Accounting,more than 1000,"Financial Services,International Business,Audit,Tax,Accounting,Outsourcing,Risk and Regulatory,Advisory,Government",https://media.licdn.com/dms/image/C4E0BAQEpeEjTLpXptg/company-logo_200_200/0?e=2132524800&v=beta&t=c2RWSdw4s-4zWUOPTybxuTED8budKaknA_umy4axa3o,www.eisneramper.ie,Financial
Medserv,Privately Held,51-200,2005,Financial Services,more than 1000,"Hospital Consultant Medical Billing,Private Patient Billing,Accounts Receivable Management,Medserv Hospital Services,GP Insurer Billing",https://media.licdn.com/dms/image/C4D0BAQFKvbe9PYps0g/company-logo_200_200/0?e=2132524800&v=beta&t=Ew9PO4HkxcuReRohSTfyh_ge6FNhpsDe_qojXulKxMw,http://www.medserv.ie,Financial
MONEX,Privately Held,51-200,1997,Financial Services,more than 1000,"Dynamic Currency Conversion,DCC,Ecommerce,Multicurrency,Foreign Currency,Foreign Exchange,Payment Service Provider,PSP,Payment Processor,Payment Gateway,PCI-DSS,Treasury,Credit Cards,VISA,Mastercard,Mobile Payments,Airlines,Ryanair",https://media.licdn.com/dms/image/C510BAQFITkufNfbfcg/company-logo_200_200/0?e=2132524800&v=beta&t=D9E6CN13DthQ9MqEXORmyj9YG-1ElqHhfXmj_2fqyKk,http://www.monexfs.com,Financial
Campion Insurance,Privately Held,51-200,1984,Insurance,more than 1000,"Motor Trade,Fleet & Haulage,Bus & Coach,Farm & Agri,Insolvency,Vintage & Classic,Investment Planning,Health,Online Car & Home Insurance,Group Pension Schemes,car insurance,mortgage advice,mortgage broker",https://media.licdn.com/dms/image/C4E0BAQFqmXjX8s0EFQ/company-logo_200_200/0?e=2132524800&v=beta&t=67I71VOmT9b7UGCoUNjyRd1z7Up5rrRZPEWElcFDr94,www.campioninsurance.ie,Financial
Allianz Ireland,Privately Held,501-1000,1902,Insurance,more than 1000,"Motor Insurance,Home Insurance,Pet Insurance,Insurance",https://media.licdn.com/dms/image/C4E0BAQHIFtOl9r-AIw/company-logo_200_200/0?e=2132524800&v=beta&t=nAYxbx1iDz4vosPQkb7igNeVCUtQVMS_oTk9hZAgXjk,www.allianz.ie,Financial
Carne Group,Privately Held,51-200,2004,Financial Services,more than 1000,"Independent Directorships & Oversight,Fund & Management Company Establishment,Management Company Services,Fund Registrations,Designated Persons,Risk Oversight",https://media.licdn.com/dms/image/C4E0BAQFu7s1kIkThKg/company-logo_200_200/0?e=2132524800&v=beta&t=o1kC_gGAyqvy-bdy6KLZB9jUe6LZEH1aKSYSQlHi5lg,http://www.carnegroup.com/,Financial
My Office,Self Employed,myself only,Undisclosed,Accounting,500-1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,www.myoffice.ie,Financial
Liberty Insurance Ireland,Public Company,1001-5000,1912,Insurance,more than 1000,Insurance,https://media.licdn.com/dms/image/C560BAQFOhTQ6f8EyFQ/company-logo_200_200/0?e=2132524800&v=beta&t=cEVvSKdVwbBYo30lzJgqHBAVN8MBwrtWOkvWUwBLgjU,www.libertyinsurance.ie,Financial
Eagle Alpha,Privately Held,11-50,2012,Financial Services,more than 1000,"Alternative Data,Investment Management,Research Reports,Analytical Tools,Datasets",https://media.licdn.com/dms/image/C510BAQEfpUQnXdw-gw/company-logo_200_200/0?e=2132524800&v=beta&t=VLK4DFWrJx3kcGVYqW3Kbq-UN899-UJ4dedXVPLPXAc,www.eaglealpha.com,Financial
OmniPay,Privately Held,51-200,2000,Financial Services,more than 1000,"Multi-currency acquiring,dynamic currency conversion,internet payment acquiring",https://media.licdn.com/dms/image/C4D0BAQFFjwzXMhXQFQ/company-logo_200_200/0?e=2132524800&v=beta&t=TybxFuZvMjlRsWy21YPPUHkn5v_3AOeBDyZsWXH5HYA,www.omnipaygroup.com,Financial
Harcourt Developments,Privately Held,1001-5000,1964,Real Estate,more than 1000,"Construction,Property Management,Civic Arts,Restoration,Interior design,Regeneration,Planning,Hospitality,Visitor Attractions,Design,Hotels,Retail,Offices,Hotels",https://media.licdn.com/dms/image/C4E0BAQHeS9nxohm7dA/company-logo_200_200/0?e=2132524800&v=beta&t=oDY7Jo8dTgm3ZaZCnzYI65sF0-qSzbnC-h5xjNQnr-U,http://harcourtdev.com,Financial
Shannon Commercial Properties,Public Company,51-200,2014,Commercial Real Estate,more than 1000,"Commercial Property,Leasing,Property Development,Commercial Real Estate",https://media.licdn.com/dms/image/C560BAQEEPxTFILqLBw/company-logo_200_200/0?e=2132524800&v=beta&t=kxFVOpCV7W56u1a4OhTi8yi5C5gkmZCNxNAmvViDxyU,www.shannonproperties.ie,Financial
Frontline Ventures,Public Company,2-10,2012,Venture Capital,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQHET6AZI1y_vA/company-logo_200_200/0?e=2132524800&v=beta&t=eab1KjEGlEYiL9wVqWwu7ILlXOktJIsxNHdP-hdfHxU,http://www.frontline.vc/,Financial
Baker Tilly Hughes Blake,Partnership,51-200,1922,Accounting,more than 1000,"Entrepreneurial owner managed businesses,Fundraising,Family businesses,Restructuring,Accounting,IT Advisory,Audit & Payroll,Forensic Accounting,Tax,Corporate Finance,EIIS,Transaction and Advisory ",https://media.licdn.com/dms/image/C560BAQHhNU15rfHo_g/company-logo_200_200/0?e=2132524800&v=beta&t=4ANNQXJRdIF1lDfFCshboPQi3DrE_ynFwOcbA_BAsP0,www.bakertillyhb.ie,Financial
Crowleys DFK,Privately Held,51-200,1975,Accounting,more than 1000,"Audit & Assurance,Advisory Services,Tax,International Tax,Business Recovery & Insolvency,Corporate Finance,Corporate Governance,Accounting Solutions,Bookkeeping & Payroll Services,Inward Investment,SMES,Public Sector,Credit Unions,Retail & Distribution",https://media.licdn.com/dms/image/C560BAQGuDAfLWOIcvA/company-logo_200_200/0?e=2132524800&v=beta&t=enBapNXYY664j9Op6KUPn4DrSHeLPvhkXjjlse2Iw3M,www.crowleysdfk.ie,Financial
Knight Frank Ireland,Privately Held,51-200,2004,Real Estate,more than 1000,"Commercial Property,Residential Property,Investments,Professional Services,Asset Management",https://media.licdn.com/dms/image/C510BAQGX40Tn0L8Z8A/company-logo_200_200/0?e=2132524800&v=beta&t=odUdyjuxhjMF4jKgftWn7Mx_8-0Fu5jbP4pX2GYbVxs,http://knightfrank.ie/,Financial
