name,companyType,employeeCountRange,foundedYear,industries,numFollowers,specialties,squareLogoUrl,websiteUrl,group
The Honorable Society of King's Inns,Educational,11-50,1541,Education Management,more than 1000,"Education,Barrister-at-Law Degree,Training,CPD - Continuing Professional Development,Dining,Venue Hire,Weddings,Corporate Events,Location Filming,law and education,employment law,planning law,environmental law",https://media.licdn.com/dms/image/C4E0BAQGcCMAnnlbCVQ/company-logo_200_200/0?e=2132524800&v=beta&t=mVu2o5hUNvWctu86u2n1nlyFh-6uGlB69pVAy3wUrPc,http://www.kingsinns.ie,EDUCATION
Christian Brothers College,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://static1.squarespace.com/static/                                     543fa8a4e4b07a3fedf53cf8/t/59f7a805ec212d5a70dc4212/                                     1509403020299/fullsizeoutput_5147.jpeg,http://www.cbccork.ie/,EDUCATION
Centre of English Studies (CES),Privately Held,51-200,1979,Education Management,more than 1000,"General English courses,Teacher Training,IELTS Test centres,Junior Programmes,IELTS Exam tuition,Cambridge Examination centre,Cambridge examination classes",https://media.licdn.com/dms/image/C4D0BAQFMbQLKt1XReg/company-logo_200_200/0?e=2132524800&v=beta&t=vb2FPFeUzmxaZFgWoz7gjjPIXxpL88sHeXS-WR2n-So,www.ces-schools.com,EDUCATION
The Teaching Council,Non Profit,11-50,2006,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C560BAQH9jr6RIqSWAg/company-logo_200_200/0?e=2132524800&v=beta&t=hVfRyjvNVPzTrinCCjhX2ZuzrMyhUDLTlMuP5R8UnwA,www.teachingcouncil.ie,EDUCATION
Educate Together,Non Profit,11-50,1984,Education Management,more than 1000,"Opening Innovative Schools,Inter-cultural Education and Curriculum Development,Online Education Courses,Building Social Capital,Ethical Education Specialists,Empowering Participatory Democracy",https://media.licdn.com/dms/image/C4D0BAQGKdIrM8AKi0g/company-logo_200_200/0?e=2132524800&v=beta&t=J6wqKZsxsJs2t1dDA27aZKVik6BkFtZt4er8FVOB_v8,www.educatetogether.ie,EDUCATION
Hibernia College,Privately Held,51-200,2000,E-learning,more than 1000,"Teaching,Post Graduate Programmes,CPD Programmes,Higher Education,eLearning,Primary Education",https://media.licdn.com/dms/image/C4E0BAQFTfp30Xhxvsw/company-logo_200_200/0?e=2132524800&v=beta&t=g2LKWTBbUsuOMKwVscakFrr6_niBPtGN869cSz3_HWg,http://hiberniacollege.com/?Lead=Social_Media&Campaign=Profile&Provider=LinkedIn,EDUCATION
ITT Dublin,Educational,201-500,1992,Education Management,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4E0BAQGfbD9XytfbAA/company-logo_200_200/0?e=2132524800&v=beta&t=V0R-F6516wr-tq2xsPiCa2vAAP_H1QEP32IEb-8ff6U,www.ittdublin.ie,EDUCATION
IBAT College Dublin,Educational,Undisclosed,Undisclosed,Higher Education,more than 1000,Not Specified,https://media.licdn.com/dms/image/C4D0BAQEet1coYJ-woQ/company-logo_200_200/0?e=2132524800&v=beta&t=WDHx5J3Q_01EcFTDXKQ05yWpwYPVmVb5zAzaEuWABSs,www.ibat.ie,EDUCATION
SEDA College,Educational,51-200,2009,Education Management,more than 1000,"Language Courses,General English Courses,Cambridge Preparation FCE/PET/CAE,Ielts Preparation",https://media.licdn.com/dms/image/C4D0BAQGdlw9_riPy6Q/company-logo_200_200/0?e=2132524800&v=beta&t=UOxjY1SlM5IQ_L1VHl44qb7kEJ2pBGnIXbDZFFKUvRU,http://seda.college,EDUCATION
Camara Education Ltd.,Non Profit,51-200,2005,Education Management,more than 1000,"eLearning,Computer Hardware,Social Enterprise,International Development,Africa,eWaste,IT Disposal,Education,Data Erasure,ICT in Education",https://media.licdn.com/dms/image/C560BAQH3UnGXnBvwcw/company-logo_200_200/0?e=2132524800&v=beta&t=bSAQMgM1jywd4BbgesELUSkeTNbHeiZCc9EMZD120s8,http://camara.org,EDUCATION
